document_id,building,relative_path,filename,extension,size_bytes,last_modified,has_text
"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M Instructions for the Building Fabric, Vol 5, 5.9 - Sec 20-23.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M Instructions for the Building Fabric, Vol 5, 5.9 - Sec 20-23.pdf","5-7, Carlton Gardens, London, SW1, O&M Instructions for the Building Fabric, Vol 5, 5.9 - Sec 20-23.pdf",.pdf,27681528,2025-12-03T02:15:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.2 - Section G.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.2 - Section G.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.2 - Section G.pdf",.pdf,8841650,2025-12-03T02:16:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.3.2 - Section H (H17-H29).pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.3.2 - Section H (H17-H29).pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.3.2 - Section H (H17-H29).pdf",.pdf,62474387,2025-12-03T02:18:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.4 - Section I.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.4 - Section I.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.4 - Section I.pdf",.pdf,8159830,2025-12-03T02:16:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installation, Volume 4, 4.6 Lift Number 6.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installation, Volume 4, 4.6 Lift Number 6.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installation, Volume 4, 4.6 Lift Number 6.pdf",.pdf,27033791,2025-12-03T02:17:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.3.3 - Section H (H23).pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.3.3 - Section H (H23).pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.3.3 - Section H (H23).pdf",.pdf,14670058,2025-12-03T02:18:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.4 - Section H (H8).pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.4 - Section H (H8).pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.4 - Section H (H8).pdf",.pdf,18925661,2025-12-03T02:17:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installation, Volume 4, 4.3 Lift Number 3.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installation, Volume 4, 4.3 Lift Number 3.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installation, Volume 4, 4.3 Lift Number 3.pdf",.pdf,9454207,2025-12-03T02:17:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M Instructions for the Building Fabric, Vol 5, 5.8 - Sec 15-19.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M Instructions for the Building Fabric, Vol 5, 5.8 - Sec 15-19.pdf","5-7, Carlton Gardens, London, SW1, O&M Instructions for the Building Fabric, Vol 5, 5.8 - Sec 15-19.pdf",.pdf,145301858,2025-12-03T02:14:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.3 - Section H.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.3 - Section H.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.3 - Section H.pdf",.pdf,191378070,2025-12-03T02:15:00,True
